Company,Location_HQ,Industry,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,Laid_Off_Count,List_of_Employees_Laid_Off
Compass,New York City,Real Estate,0.15,2020-03-23,https://layoffs.fyi/2020/04/14/compass-laid-off-375-employees-showings-have-dropped-by-60/,1600.0,Series G,2020-03-28 20:52:49,United States,375.0,Unknown
Immutable,Sydney,Crypto,0.06,2022-07-26,https://www.cnet.com/tech/gaming/crypto-star-immutable-creator-of-nft-game-gods-unchained-lays-off-over-20-staff/,279.0,Series C,2022-07-28 03:35:27,Australia,20.0,Unknown
Swiggy,Bengaluru,Food,0.07,2024-01-25,https://techcrunch.com/2024/01/25/swiggy-to-cut-another-400-jobs-ahead-of-ipo-later-this-year/,3600.0,Unknown,2024-01-25 14:45:14,India,400.0,Unknown
Woven,Indianapolis,HR,0.15,2022-08-16,Internal memo,11.0,Series A,2022-08-17 20:14:18,United States,5.0,Unknown
Netlify,SF Bay Area,Product,0.16,2022-12-01,Internal memo,212.0,Series D,2022-12-08 17:03:17,United States,48.0,Unknown
The Messenger,New York City,Media,,2024-01-02,https://www.nytimes.com/2024/01/02/business/media/the-messenger-news-layoffs.html,,Unknown,2024-01-03 02:39:14,United States,24.0,Unknown
Enjoy,SF Bay Area,Retail,0.18,2022-06-30,https://news.crunchbase.com/public/bankruptcy-enjoy-apple-ron-johnson/,310.0,Post-IPO,2022-06-30 21:43:20,United States,400.0,Unknown
Brave,SF Bay Area,Consumer,0.09,2023-10-06,https://techcrunch.com/2023/10/06/brave-lays-off-9-of-its-workforce/,42.0,Series B,2023-10-07 16:10:47,United States,,Unknown
Huobi,Beijing,Crypto,0.2,2023-01-06,https://www.reuters.com/technology/crypto-exchange-huobi-lay-off-20-staff-justin-sun-2023-01-06/,2.0,Unknown,2023-01-06 23:12:54,China,275.0,Unknown
Zoom,SF Bay Area,Other,0.02,2024-02-01,https://www.cnbc.com/2024/02/01/zoom-layoffs-company-cuts-150-employees-2percent-of-workforce.html,276.0,Post-IPO,2024-02-01 18:25:36,United States,150.0,Unknown
